date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:17:00	58211/58211	---MCZ	200	added ('OK')	text/html	etag:W/%225b30e843-e363%22	http://getnajmul.com/theme/trabble/index.html	D:/Data/Hacking/Web/HTML/TEST/0%20Template/0Hasil/Trabble/getnajmul.com/theme/trabble/index-2.html	(from http://getnajmul.com/theme/trabble/)
10:17:00	2710/2710	---M--	200	added ('OK')	image/png	etag:%225b30e851-a96%22	http://getnajmul.com/theme/trabble/images/logo.png	D:/Data/Hacking/Web/HTML/TEST/0%20Template/0Hasil/Trabble/getnajmul.com/theme/trabble/images/logo.png	(from http://getnajmul.com/theme/trabble/)
10:17:01	67449/67449	---MCZ	200	added ('OK')	text/html	etag:W/%225b30e843-10779%22	http://getnajmul.com/theme/trabble/index-2.html	D:/Data/Hacking/Web/HTML/TEST/0%20Template/0Hasil/Trabble/getnajmul.com/theme/trabble/index-3.html	(from http://getnajmul.com/theme/trabble/)
10:17:01	50330/50330	---MCZ	200	added ('OK')	text/html	etag:W/%225b30e844-c49a%22	http://getnajmul.com/theme/trabble/index-3.html	D:/Data/Hacking/Web/HTML/TEST/0%20Template/0Hasil/Trabble/getnajmul.com/theme/trabble/index-4.html	(from http://getnajmul.com/theme/trabble/)
10:17:01	52014/52014	---MCZ	200	added ('OK')	text/html	etag:W/%225b30e845-cb2e%22	http://getnajmul.com/theme/trabble/index-4.html	D:/Data/Hacking/Web/HTML/TEST/0%20Template/0Hasil/Trabble/getnajmul.com/theme/trabble/index-5.html	(from http://getnajmul.com/theme/trabble/)
10:17:02	48532/48532	---MCZ	200	added ('OK')	text/html	etag:W/%225b30e847-bd94%22	http://getnajmul.com/theme/trabble/index-5.html	D:/Data/Hacking/Web/HTML/TEST/0%20Template/0Hasil/Trabble/getnajmul.com/theme/trabble/index-6.html	(from http://getnajmul.com/theme/trabble/)
10:17:02	21493/21493	---MCZ	200	added ('OK')	text/html	etag:W/%225b30e846-53f5%22	http://getnajmul.com/theme/trabble/package-version-one.html	D:/Data/Hacking/Web/HTML/TEST/0%20Template/0Hasil/Trabble/getnajmul.com/theme/trabble/package-version-one.html	(from http://getnajmul.com/theme/trabble/)
10:17:02	24352/24352	---MCZ	200	added ('OK')	text/html	etag:W/%225b30e847-5f20%22	http://getnajmul.com/theme/trabble/package-version-two.html	D:/Data/Hacking/Web/HTML/TEST/0%20Template/0Hasil/Trabble/getnajmul.com/theme/trabble/package-version-two.html	(from http://getnajmul.com/theme/trabble/)
10:17:03	30454/30454	---MCZ	200	added ('OK')	text/html	etag:W/%225b30e848-76f6%22	http://getnajmul.com/theme/trabble/single-package.html	D:/Data/Hacking/Web/HTML/TEST/0%20Template/0Hasil/Trabble/getnajmul.com/theme/trabble/single-package.html	(from http://getnajmul.com/theme/trabble/)
10:17:03	18902/18902	---MCZ	200	added ('OK')	text/html	etag:W/%225b30e840-49d6%22	http://getnajmul.com/theme/trabble/hotel-version-one.html	D:/Data/Hacking/Web/HTML/TEST/0%20Template/0Hasil/Trabble/getnajmul.com/theme/trabble/hotel-version-one.html	(from http://getnajmul.com/theme/trabble/)
10:17:04	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2015%20Mar%202020%2002:17:03%20GMT	http://getnajmul.com/theme/trabble/hotel-version-one.two	D:/Data/Hacking/Web/HTML/TEST/0%20Template/0Hasil/Trabble/getnajmul.com/theme/trabble/hotel-version-one.two	(from http://getnajmul.com/theme/trabble/)
10:17:04	20586/20586	---MCZ	200	added ('OK')	text/html	etag:W/%225b30e83e-506a%22	http://getnajmul.com/theme/trabble/blog-version-one.html	D:/Data/Hacking/Web/HTML/TEST/0%20Template/0Hasil/Trabble/getnajmul.com/theme/trabble/blog-version-one.html	(from http://getnajmul.com/theme/trabble/)
10:17:05	22637/22637	---MCZ	200	added ('OK')	text/html	etag:W/%225b30e83e-586d%22	http://getnajmul.com/theme/trabble/blog-version-two.html	D:/Data/Hacking/Web/HTML/TEST/0%20Template/0Hasil/Trabble/getnajmul.com/theme/trabble/blog-version-two.html	(from http://getnajmul.com/theme/trabble/)
10:17:05	20485/20485	---MCZ	200	added ('OK')	text/html	etag:W/%225b30e83d-5005%22	http://getnajmul.com/theme/trabble/blog-single.html	D:/Data/Hacking/Web/HTML/TEST/0%20Template/0Hasil/Trabble/getnajmul.com/theme/trabble/blog-single.html	(from http://getnajmul.com/theme/trabble/)
10:17:06	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2015%20Mar%202020%2002:17:04%20GMT	http://getnajmul.com/theme/trabble/hotel-version-one.two	D:/Data/Hacking/Web/HTML/TEST/0%20Template/0Hasil/Trabble/getnajmul.com/theme/trabble/hotel-version-one.two	(from http://getnajmul.com/theme/trabble/)
10:17:06	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2015%20Mar%202020%2002:17:05%20GMT	http://getnajmul.com/theme/trabble/hotel-version-one.two	D:/Data/Hacking/Web/HTML/TEST/0%20Template/0Hasil/Trabble/getnajmul.com/theme/trabble/hotel-version-one.two	(from http://getnajmul.com/theme/trabble/)
10:17:08	15712/15712	---MCZ	200	added ('OK')	text/html	etag:W/%225b30e83f-3d60%22	http://getnajmul.com/theme/trabble/contact.html	D:/Data/Hacking/Web/HTML/TEST/0%20Template/0Hasil/Trabble/getnajmul.com/theme/trabble/contact.html	(from http://getnajmul.com/theme/trabble/)
